,price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
188,7000000,"Delhi., Subhash Park-Shahdara, New Delhi - East, Delhi NCR",1008,28.68657303,77.29962921,3,2,1,Ready to Move,Resale,2,Semi-Furnished,1,Nearby Shanti nursing home,Flat,"


                                If you have ever dreamt of gifting your family a spacious dwelling, then now is the time to fulfill the same. Situated in a royal locale of Subhash Park-Shahdara, New Delhi, here is the dazzling 3BHK flat up for sale. So, why wait??? Seize this property quickly to enjoy the essence of grace & elegance…!Property SpecificationsBenefited with freehold ownership rights, this 100% vaastu compliant flat faces towards the west direction and is comfortably leveled on the 3rd floor of the 4-storeyed building.Immaculately designed with fans & lights, this semi-furnished flat comprises 3 bedrooms, 2 bathrooms, 1 balcony, a living cum dining area and a modular kitchen with chimney.All the bedrooms are furnished with trendy wardrobes to offer you ample storage space. Fashioned in a western theme & outfitted with top brand geysers, 1 bathroom is attached and 1 bathroom is common.Overlooking the unmatched views of the main road, the lovely balcony is connected to one of the bedrooms. Further, all the rooms are decked with the granite tiles on the flooring that is very resistant to moisture & stains.FacilitiesA covered parking slot is allotted for this residence to accommodate your vehicles safely. Uninterrupted water supply for 24hours and 100% power backup facilities are provided here. Also, security guard is appointed to keep a close watch on this residential building.LocalityWithin a radius of 500m, you can find the leading Shyamlal College and Little Flower School from this residential property. The most reputed Shanti Nursing Home is available nearby for any healthcare concern. Also, the market area is at walking distance (200m) to buy your essential accessories.All the major banks and ATMs are found within the proximity to meet your banking services. To commute to other parts of the city conveniently, you can access the Shahdara and Welcome Metro Stations within 500m whereas different public transports within the vicinity.

more

",6944.444444
189,22500000,"Kalkaji, New Delhi - South, Delhi NCR",1900,28.54366493,77.25489807,3,3,2,Ready to Move,Resale,,Unfurnished,,"L Block Gurudwara, NGF Tiny Tot School",Flat,"


                                Truly stunning and highly gorgeous- this beautifully crafted lavish 3 BHK builder floor for sale in Kalkaji, New Delhi is truly worth moving in with your beloved family. So, hurry up and book this builder floor immediately!!!Property SpecificationsNote- The furniture available in this builder floor will be provided on an additional charges. Spacious rooms that are adorned with top-class interiors, this builder floor is absolutely worth your consideration. Moreover, another benefit of choosing this builder floor is that it is built in accordance with Vaastu principles. North-east facing, this 3 BHK builder floor is sited on the 2nd floor of a 4-storey building. Appointed with branded quality lights and fans, this builder floor is inclusive of 3 luxurious bedrooms, 3 en-suite bathrooms, 2 fabulous balconies, a beautiful puja room, servant room, separate livingLocated in South Delhi, Kalkaji is a premium locality best known for about 250 year old Kalkaji Temple and Lotus Temple, which is a major tourist attraction of the city.The nearby localities of Kalkaji include Greater Kailash, Nehru place, Okhla and Lajpat Nagar. The residential segment of the locality mostly consists of premium bungalows and builder floors.Popular tourist destinations Kalkaji Mandir and Lotus Temple located in KalkajiExcellent connectivity via Outer Ring Road, Delhi Metro Magenta Line and Violet Line
                            
more

",11842.10526
193,4500000,"Near Andolan Park, Canara Bank, Savitri Nagar Village, New Delhi - South, Delhi NCR",800,28.539814,77.21868134,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",5625
194,2650000,"Shivani enclave old palam road kakrola dwarka., Kakrola, New Delhi - Dwarka, Delhi NCR",608,28.63474274,77.04910278,2,2,1,Ready to Move,Resale,,Unfurnished,,Near MBD school,Flat,"


                                100% government registered and loanable floor, one covered car parking, modular kitchen, moveable tv unit, high false ceiling with lights, led panel lights, modular switch and havey wire, wallpaper as per customer's choice,  vertified tiles,  intercom lock door system, both water supply facility, near dwarka metro station in 5 min walk, 3 different beautiful park within walking.
                            
more

",4358.552632
200,3000000,"Laxmi Nagar, New Delhi - East, Delhi NCR",630,28.68641663,77.29958344,2,2,1,Ready to Move,Resale,1,Semi-Furnished,,Nearby Nirman Viahr Metro Station,Flat,"
",4761.904762
204,4500000,"janki puri, Uttam Nagar, New Delhi - West, Delhi NCR",1000,28.6212883,77.05307007,3,2,1,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",4500
207,6200000,"palam Village Delhi, Palam, New Delhi - Dwarka, Delhi NCR",950,28.63475037,77.0491333,3,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Near Ramfal Chowk,Flat,"
                    
                    
                    
                       It is very prime location with full facility
                    
                ",6526.315789
210,5500000,"Sector 15 Dwarka, New Delhi - Dwarka, Delhi NCR",1000,28.615032,77.0290715,3,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",5500
229,6000000,"A5 Kewal Park Extension Delhi India, Kewal Park, New Delhi - North, Delhi NCR",1000,28.68641853,77.29956055,3,3,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",6000
230,17500000,"c113 3rd floor Shakti nagar extension ashok vihar phase 3 Delhi 110052, Ashok Vihar Phase 3, New Delhi - North, Delhi NCR",1658,28.68220329,77.18806458,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,State Bank of India Ashok vihar phase 3.,Flat,"


                                East facing, this 3BHK flat is available for sale in Ashok Vihar Phase 3, New Delhi. This flat is relatively new with a construction age of 5 to 10 years and is benefited with freehold ownership rights. Therefore, you cannot miss this golden investment opportunity!!Property SpecificationsTotally Vaastu compliant, this flat is absolutely ready to move in and is positioned on the top floor of a low raised 4 floor building. Spread across a super area of 1658sqft, this flat encompasses 3 bedrooms furnished with wardrobes, 4 western style bathrooms, 2 wide and airy balconies.
                            
more

",10554.8854
233,14500000,"Dwarka Sector 23, New Delhi, Sector 23 Dwarka, New Delhi - Dwarka, Delhi NCR",1650,28.56213384,77.05678938,3,2,3,Ready to Move,Resale,,,,near  sector 21 metro,Individual House,"
                    
                    
                    
                       the the property is 3 bed rooms with with 2 bath rooms all interior work is done like pop paints and all . the society is one of the best society in all over dwarka please call for more information or side visit
                    
                ",8787.878788
237,27500000,"Plot no- 77 Sector 13 Dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",2250,28.5994675,77.0349205,4,4,2,Ready to Move,New Property,,,,"Reliance mall ,Raddison hotel,Iskon temple,Vegas mall.",Flat,"


                                A newly constructed 4 BHK builder floor is available for sale in “DDA Residential Plots Sector XIII”, Sector 13 Dwarka, New Delhi. This builder floor is built in accordance with Vaastu rules ensuring you a peaceful life with your family.Property SpecificationsConveniently positioned on the upper ground floor, this builder floor faces the auspicious north east direction. Semi-furnished with wardrobes, this builder floor is benefited with freehold ownership rights. Hence, a safe and secure investment to go with.Further, this builder floor comprises 4 bedrooms, 4 western style bathrooms, 2 wide and airy balconies, puja room, living room, dining room and a modular kitchen with a chimney. The bathrooms are equipped with geysers where 3 are attached and the remaining one is commonly accessible.Moreover, this builder floor is beautifully covered with a combination of wooden flooring in one of the bedrooms and Italian marble flooring and vitrified tile flooring in the rest of the area. Offering you unblocked views of the park and the parking area, the balconies come connected with 4 bedrooms.FacilitiesThe residents are entitled to modern amenities that include- a lift, rain water harvesting, gymnasium, park, reserved parking, security, water storage, visitor parking, jogging and strolling track and many more.Additionally, other basic facilities such as covered and open parking space, round the clock water supply, no/rare power cut and high level security via guard and CCTV cameras.LocalityAt a distance of 100meters, you will find reputed schools, hospitals, shopping malls, supermarkets, local markets, banks and ATM centres. The Iskcon Temple and many restaurants are situated at a distance of 100 meters as well.Commuting to and from this area is stress free as various public transport facilities such as taxis, auto rickshaws and buses are easily available here. Moreover, the metro station is dotted at a distance of 100meters. 

more

",12222.22222
